ID_participant_long,transcript_coder1_coder2_coder3,transcript_wav2vec_base,transcript_wav2vec_large,transcript_google,transcript_whisper,transcript_whisper_medium,transcript_nvidia_xxlarge
children_5dce92ac94dba8102c325b02,"I don't have any children because both my husband and I suffer from mental illness, and we didn't wanna pass it along to our children.",I don't have any children because both my husband and I suffer from mental illness and we didn't want to pass it along to our children,I don't have any children because both my husband and I suffered from mental illness and we didn't want to pass it along to our children,I don't have any children because both my husband and I suffer from mental illness and we didn't want to pass it along to our children,I don't have any children because both my husband and I suffer from mental illness and we didn't want to pass it along to our children.,I don't have any children because both my husband and I suffer from mental illness and we didn't want to pass it along to our children.,i don't have any children because both my husband and i suffer from mental illness and we didn't want to pass it along to our children
children_5f9fb315ae6f085ff96c0cac,I take care of myself without taking care of kids. I'm just not ready for it.,E Ke care of my Tolp without taking care of kids Im an is NAT ready for it,Merely take care of my Soll without taking care of kids Im I'm just not ready for it,barely take care of myself taking care of kids I'm just not ready for it,I can't take care of myself without taking care of kids. I'm just not ready for it.,care of myself without taking care of kids. I'm just not ready for it.,i barely take care of myself without taking care of kids i'm just not ready for it
children_5fb327660f80c1a4d39fada2,I do not want to have children at all. It just isn't for me. Sorry.,I do not want to have children at all it just Isnit for me sorry,I do not want to have children at all it just isn't or me sorry,I do not want to have children it just isn't for me sorry,I do not want to have children at all. It just isn't for me. Sorry.,I do not want to have children at all. It just isn't for me. Sorry.,i do not want to have children at all it just isn't for me sorry
children_601387b4aa37e127b0544497,"I don't have any children yet because I keep running into guys that aren't about anything obviously. I just don't wanna bring a child into this world and I'm not ready and I'm having trouble with myself, like just even taking care of myself so",Um I don't have any Childin yet because I keep Runnin into Guyse that aren't about anything obviously um I just don't want to bring a child into this world and I'm not ready and I'm having trouble with myself like just even takin care of myself so,Em I don't have any children yet because I keep running into guys that aren't about anything obviously um I just don't want to bring a child into this world and I'm not ready and I'm having trouble with myself I just even takin care of myself so,I don't have any children yet because I keep running into guys that aren't about anyting I received I just don't want to bring a child into this world and I'm not ready and I'm having trouble with myself like this even taking care of myself so,"I don't have any children yet because I keep running into guys that aren't about anything, obviously. I just don't want to bring a child into this world and I'm not ready and I'm having trouble with myself, like, just even taking care of myself.","Um, I don't have any children yet because I keep running into guys that aren't about anything, obviously. Um, I just don't want to bring a child into this world and I'm not ready and I'm having trouble with myself, like, just even taking care of myself, so.",um i don't have any children yet because i keep running into guys that aren't about anything obviously um i just don't wanna bring a child into this world and i'm not ready and i'm having trouble with myself like just even taking care of myself so
children_60ca2c1af74de5025ec3600c,I could not have children due to medical reasons.,I could not have children due to medical reason,I could not have children DOE to medical reasons,could not have children due to medical reasons,I could not have children due to medical reasons.,I could not have children due to medical reasons.,i could not have children due to medical reasons
children_62c35e9517e15b36b957a678,I'm not a big fan of children and I don't plan to have any children regardless if I'm in a serious relationship or not.,Iam not a big Fanof children and and I don't plan to have any children of regardless of Fum and a Asserious relationship Ernut,I'm not a big fan of children and I don't plan to have any children I regardless if I Ino a serious relationship or not,I'm not a big fan of children and I don't plan to have any children of regardless of fell into a serious relationship or not,I'm not a big fan of children and I don't plan to have any children regardless if I'm in a serious relationship or not.,I'm not a big fan of children and I don't plan to have any children regardless if I'm in a serious relationship or not.,i'm not a big fan of children and i don't plan to have any children regardless if i'm in a serious relationship or not
children_633b87cee034f7bf70e3faa5,"My fiancee and I had just bought a house, so we're not planning on having any kids yet.",My fiance and I had just bought a House so we're not played on Hav an Ykins yet,My Fiancee and I had just bought a House so we're not played on t have any kids yet,my fiance and I had just bought a house so we're not planning on having any kids yet,"My fiance and I had just bought a house, so we're not planning on having any kids yet.","My fiance and I had just bought a house, so we're not planning on having any kids yet.",my fiance and i just bought a house so we're not planning on having any kids yet
children_638618fa9af1295309751c0c,Just didn't happen.,Just didn't happen,Just didn't happen,just didn't happen,Just didn't happen.,Just didn't happen.,it just didn't happen
children_63b4cf71ee20e198a270b1b2,I don't have children yet just for the reason that the partner I'm with we're not looking for kids and it's something even down the road I don't think we would.,I don't have children yet jest for reason Thag Ouh partner I'm with we're not looking for kids Ah and it's something even down the road I don't think we would,I don't have children yet just Forreasoned a partner I'm with we're not looking for kids and it's something even down the road I don't think we would,I don't have children yet just for reason that partnering with we're not looking for kids and it's updating even down the road I don't think we would,I don't have children yet just for reason that partner I'm with we're not looking for kids and it's something even down the road I don't think we would,"I don't have children yet just for the reason that the partner I'm with, we're not looking for kids. And it's something even down the road I don't think we would.",i don't have children yet just for reason that the partner i'm with we're not looking for kids um and it's something even down the road i don't think we would
climate_evaluation_5f9fb315ae6f085ff96c0cac,It's like everyone wants to pass the buck. I'm not too confident that we're gonna fix it.,Eems like everyone wants to a pass the buck I'm not too a confident that We'Regoing to fix it,Seems like everyone wants to er pass the buck I'm not too E confident that we're going to fix it,like everyone wants to I'm not too confident that we're going to fix it,Seems like everyone wants to pass the buck. I'm not too confident that we're gonna fix it.,It seems like everyone wants to pass the buck. I'm not too confident that we're going to fix it.,seems like everyone wants to pass the but i'm not too confident that we're going to fix it
climate_evaluation_60bd7c01f57ea794c5e3e4d8,Because there's too many nations that don't wanna participate,Because there's too many nations that don't want to participate,Because there's too many nations that don't want to participate,because there's too many nations that don't want to participate,Because there's too many nations that don't want to participate.,Because there's too many nations that don't want to participate.,because there are too many nations that don't want to participate
climate_evaluation_615f47f5414cbdd6deaf52a0,I think we're already in the middle of it. It's too late to do anything. We need to start preparing for what this means for us.,A thing we're already in the middle of it it's too late to do anything how we to start preparing for what this means for us,I think we're already in the middle of it it's too late to do anything we to start preparing for what this means for us,I think we're already in the middle of it to do anything to start preparing for what this means for us,I think we're already in the middle of it. It's too late to do anything. We need to start preparing for what this means for us.,I think we're already in the middle of it. It's too late to do anything. We need to start preparing for what this means for us.,i think we're already in the middle of it it's too late to do anything we need to start preparing for what this means for us
climate_evaluation_622a24163ab4c46804399b02,I think that we'll somehow get there most of the other countries are farther ahead and care more about climate change than the Americans do. The Americans pretty much just wanna do what they don't wanna do and give anything up that might help the environment but I would trust other countries to go a lot further than us.,I think that will somehow get there a most of the other countries are farther ahead and care more about a climate change than the Americans do the Americans pretty much just want to do what they don't want to do and give anything up that might help the environment but I would trust other countries to go a lot further than us,I think that we'll somehow get there most of the other countries are farther ahead and care more about a climate change than the Americans do the Americans pretty much just want to do what they don't want to do and give anything up that might help the environment but I would trust other countries to go a lot further than us,I think that will somehow get there most of the other countries are farther ahead and care more about climate change than the Americans do the Americans pretty much just want to do what they don't want to do and give anything up that might help the environment but I would trust other countries to go a lot further than us,"I think that we'll somehow get there. Most of the other countries are farther ahead and care more about climate change than the Americans do. The Americans pretty much just want to do what they don't want to do, and give anything up that might help the environment. But I would trust other countries to go a lot further than us.",I think that we'll somehow get there. Most of the other countries are farther ahead and care more about climate change than the Americans do. The Americans pretty much just want to do what they don't want to do and give anything up that might help the environment. But I would trust other countries to go a lot further than us.,i think that we'll somehow get there most of the other countries are farther ahead and care more about climate change than the americans do the americans pretty much just want to do what they don't want to do and give anything up that might help the environment but i would trust other countries to go a lot further than us
climate_evaluation_62885de1cdfe242015ccacef,"I selected this answer because I have, you know, a small trust in the community, the international community. So, I have to be optimist. Thank you.",I selected this answer because I have you know a small Trest on the community t International comment so I have Shul be optimist thank you,I selected this answer because I have you know a small trust on the community the International Comnt so I have to be optimists thank you,I selected this answer because I have you know a small Trust on the community the International Film went so I have to be Optimist thank you,"I selected this answer because I have, you know, a small trust on the community, the international community. So I have to be optimistic. Thank you.","I selected this answer because I have, you know, a small trust on the community, the international community. So I have to be optimistic. Thank you.",i selected this answer because i have you know a small trust in the community the international community so i have to be optimist thank you
climate_evaluation_62914c34e831fee715303be6,Because no one can agree on anything and everything has to be political,Because no one can agree on anything and everything has to be political,Because no one can agree on anything and everything has to be political,because no one can agree on anything and everything has to be political,Because no one can agree on anything and everything has to be political.,Because no one can agree on anything and everything has to be political.,because no one can agree on anything and everything has to be political
climate_evaluation_62c63c653a49b220cb390bdb,There's just so much mixed messages coming from the media and from the past experiences of promises and exactly with the countries under right now I just don't feel confident confident about any.,There's just that is so much Mixin Messengers coming from the Medio and from the past experiences of promises and exactly what the country is on the right now at Giston field confident of confident about an,That's just that so much mixed messages coming from the media and from the past experiences of promises and exactly whet the Countryis on the right now I just don't feel confident but confident about,it's just that it's so much mixed messages coming from the media and from the past experiences of promises and exactly with the countries on the right now I just don't feel comfortable confident about,There's just so much mixed messages coming from the media and from the past experiences of promises and exactly what the country is under right now I just don't feel confident about anything.,There's just so much mixed messages coming from the media and from the past experiences of promises and exactly what the country is under right now. I just don't feel confident about any of it.,it's just that so much mixed messages coming from the media and from past experiences exactly what the country's under right now i just don't feel confident about anything
climate_evaluation_62e199458482518274623771,I think there'll be driving forces that really push it the global climate change efforts forward however I do believe that there are some major countries like China and India that will really impede on that progress.,I think Theye'll be of driving forces that really push it the global climate change efforts afford however I do believe that ther are some major countries like China and India Ah that will really impede on that progress,I think there'll be Bot driving forces that really push it the global climate change efforts Forrd however I do believe that there are some major countries like China and India Ah that will really impede on that progress,I think they'll be driving forces that really pushed the global climate change after it's poured however I do believe that there are some major countries like China and India that will really impede on that progress,"I think there will be driving forces that really push the global climate change efforts forward. However, I do believe that there are some major countries like China and India that will really impede on that progress.","I think they'll be driving forces that really push it. The global climate change efforts forward. However, I do believe that there are some major countries like China and India that will really impede on that progress.",i think there'll be driving forces that really pushed the global climate change efforts forward however i do believe that there are some major countries like china and india that will really impede on that progress
education_university_5850d667b64b9e00017cb722,"I didn't like school, when I was in high school, and I wanted to go right straight to work, earn money.",I didn't like school when I was in high school and I wanted to go rut straight to work earn money,I didn't like school when I was in high school and I wanted to go right straight to work earn money,I didn't like school when I was in high school and I want to go right straight to work or money,"I didn't like school when I was in high school and I wanted to go right straight to work, earn money.","I didn't like school when I was in high school and I wanted to go right straight to work, earn money.",i didn't like school when i was in high school and i wanted to go right straight to work and money
education_university_5ba439a97b196f000196e624,I wanted to help others.,I want to help others,I want to help others,I want to help others,I want to help others.,I want to help others.,i want to help others
education_university_5c377e2f5c297200015669e6,"I started working towards the college degree but life got in the way, and I've never gone back to finish.",I started workin Twards the college degree but life Gotin away an I've never gone Beck t Sef,I started working towards the college degree but life got in away and I've never gone back to finish,I started working towards a college degree but life got in the way and I've never gone back to me,"I started working towards a college degree, but life got in the way and I've never gone back to finish.",I started working towards a college degree but life got in the way and I've never gone back to finish.,i started working towards a college degree but life got insured and i've never gone back to finish
education_university_5e7146ee69a3f1061774803b,I grew up in a very small town and I wanted to learn more about the world and meet new people and getting a degree helped me do that.,I grew up in a very small town and Im wanted to learn war about the world and meet new people M and getting a Tegree help Mou do th,I grew up in a very small town and I wanted to learn mare about the world and meet new people I'm getting a degree help me do,Akron bearing small town and I wanted to learn more about the world,I grew up in a very small town and I wanted to learn more about the world and meet new people and getting a degree helped me do that.,I grew up in a very small town and I wanted to learn more about the world and meet new people and getting a degree helped me do that.,i grew up in a very small town and i wanted to learn more about the world and meet new people and getting a degree helped me do that
education_university_5f430d7837655454911d1d12,"Because I´m, the profession I was in I needed to have a two-year degree.",Not because I the profession I was in Im I needed to have a two year on a degree,Because I the profession I was in I needed to have a two year degree,because the profession I was in I needed to have a two-year degree,"Because the profession I was in, I needed to have a two-year degree.","Because I, the profession I was in, I needed to have a two-year degree.",because i the profession i was in i needed to have a two year degree
